country_name_for_merge,iso_alpha,oecd_member,hemisphere,income_band_2007
Taiwan,TWN,False,Mixed,Higher
Tanzania,TZA,False,Mixed,Lower
Thailand,THA,False,Mixed,Upper-Middle
Togo,TGO,False,Mixed,Lower
Trinidad and Tobago,TTO,False,Western,Upper-Middle
Tunisia,TUN,False,Mixed,Upper-Middle
Turkey,TUR,True,Northern,Upper-Middle
Uganda,UGA,False,Mixed,Lower
United Kingdom,GBR,True,Northern,Higher
United States,USA,True,Western,Higher
Uruguay,URY,False,Western,Upper-Middle
Venezuela,VEN,False,Western,Upper-Middle
Vietnam,VNM,False,Mixed,Lower-Middle
West Bank and Gaza,PSE,False,Mixed,Lower-Middle
"Yemen, Rep.",YEM,False,Mixed,Lower-Middle
Zambia,ZMB,False,Mixed,Lower
Zimbabwe,ZWE,False,Mixed,Lower
